FID;field_1;field_2;x;y
181;281579,267520670022350;4595705,327685680240393;281579,0000000;4595710,0000000
182;309911,669604516995605;4616402,348113040439785;309912,0000000;4616400,0000000
183;305941,518896783993114;4615819,930425410158932;305942,0000000;4615820,0000000
184;289047,373227111995220;4597876,198902370408177;289047,0000000;4597880,0000000
185;318657,545816437981557;4626704,227612979710102;318658,0000000;4626700,0000000
186;307924,288267044990789;4614150,108087570406497;307924,0000000;4614150,0000000
187;316063,140492787992116;4626397,488351950421929;316063,0000000;4626400,0000000
188;295312,810403585026506;4601696,167120910249650;295313,0000000;4601700,0000000
189;309844,794359160994645;4619846,654237429611385;309845,0000000;4619850,0000000
190;306023,328520854993258;4608524,010060739703476;306023,0000000;4608520,0000000
191;310749,526213372999337;4616778,172219269908965;310750,0000000;4616780,0000000
192;316685,283558593015186;4623562,161118810065091;316685,0000000;4623560,0000000
193;313964,840140939981211;4604735,680098010227084;313965,0000000;4604740,0000000
194;311333,442583451978862;4606032,707997350022197;311333,0000000;4606030,0000000
195;317156,691734932013787;4610730,166972310282290;317157,0000000;4610730,0000000
196;297991,983165658020880;4590693,867355559952557;297992,0000000;4590690,0000000
197;288171,063287889992353;4622753,592247650027275;288171,0000000;4622750,0000000
198;307214,965742897999007;4603923,726868890225887;307215,0000000;4603920,0000000
199;301622,839488809986506;4606058,058722049929202;301623,0000000;4606060,0000000
200;287048,675582044001203;4599220,786581159569323;287049,0000000;4599220,0000000
201;289575,444635520980228;4599183,299968950450420;289575,0000000;4599180,0000000
202;310725,451708075997885;4601790,072912470437586;310725,0000000;4601790,0000000
203;313160,014297826972324;4623231,769156569615006;313160,0000000;4623230,0000000
204;291888,462492362014018;4627194,128748360089958;291888,0000000;4627190,0000000
205;302055,887728996982332;4607052,525213169865310;302056,0000000;4607050,0000000
206;317057,132473470002878;4600612,587802040390670;317057,0000000;4600610,0000000
207;302083,391431020980235;4607157,104005750268698;302083,0000000;4607160,0000000
208;308021,013263971020933;4611448,013080930337310;308021,0000000;4611450,0000000
209;296029,180917392019182;4611152,423865949735045;296029,0000000;4611150,0000000
210;316194,713397253013682;4598174,687626229599118;316195,0000000;4598170,0000000
211;306241,088877313013654;4604720,093860859982669;306241,0000000;4604720,0000000
212;310117,764571739011444;4620152,202596509829164;310118,0000000;4620150,0000000
213;296640,749715645972174;4612824,568623759783804;296641,0000000;4612820,0000000
214;292592,660684533999301;4616209,247131739743054;292593,0000000;4616210,0000000
215;302201,125359822995961;4602090,758440460078418;302201,0000000;4602090,0000000
216;307713,959576851979364;4617077,648156889714301;307714,0000000;4617080,0000000
217;285241,422696879017167;4594581,595786550082266;285241,0000000;4594580,0000000
218;289005,830585699004587;4620453,591126319952309;289006,0000000;4620450,0000000
219;304273,523375011980534;4612571,491320800036192;304274,0000000;4612570,0000000
220;297811,204938902985305;4606867,005222099833190;297811,0000000;4606870,0000000
221;286228,777476358984131;4598796,029074120335281;286229,0000000;4598800,0000000
222;294825,210179633984808;4614676,293337319977582;294825,0000000;4614680,0000000
223;302572,202552172006108;4606664,537390540353954;302572,0000000;4606660,0000000
224;312106,263655848975759;4622888,545423629693687;312106,0000000;4622890,0000000
225;302145,570564323978033;4607749,175548650324345;302146,0000000;4607750,0000000
226;313152,056124488997739;4605165,317909959703684;313152,0000000;4605170,0000000
227;289560,250461904972326;4598990,609428919851780;289560,0000000;4598990,0000000
228;313932,436160209006630;4623988,978074200451374;313932,0000000;4623990,0000000
229;290035,636080151016358;4608366,503545929677784;290036,0000000;4608370,0000000
230;303178,782170051999856;4618310,170862279832363;303179,0000000;4618310,0000000
231;288998,595508055004757;4608698,278578399680555;288999,0000000;4608700,0000000
232;302370,404750610992778;4601513,547201540321112;302370,0000000;4601510,0000000
233;290724,469166943978053;4603101,462772269733250;290724,0000000;4603100,0000000
234;306040,487317664024886;4609493,358585949987173;306040,0000000;4609490,0000000
235;299234,456568478024565;4604599,844027070328593;299234,0000000;4604600,0000000
236;314642,800017677014694;4612109,501060339622200;314643,0000000;4612110,0000000
237;309719,622082787973341;4602235,978681249544024;309720,0000000;4602240,0000000
238;289753,260434128984343;4619650,005000759847462;289753,0000000;4619650,0000000
239;315247,667069180984981;4611047,746555400080979;315248,0000000;4611050,0000000
240;290857,912931899016257;4602217,551037419587374;290858,0000000;4602220,0000000
241;311250,706378331000451;4601545,288497109897435;311251,0000000;4601550,0000000
242;304215,371623784012627;4606779,206443349830806;304215,0000000;4606780,0000000
243;301386,488235920027364;4598161,084811910055578;301386,0000000;4598160,0000000
244;310878,633644180023111;4606248,561759609729052;310879,0000000;4606250,0000000
245;291074,322872977994848;4617967,064311590045691;291074,0000000;4617970,0000000
246;301952,451157742994837;4606268,550087570212781;301952,0000000;4606270,0000000
247;301845,747651991026942;4602898,065078769810498;301846,0000000;4602900,0000000
248;295788,436028047988657;4610220,828045629896224;295788,0000000;4610220,0000000
249;289341,658819366013631;4620093,340194799937308;289342,0000000;4620090,0000000
250;310966,059292212012224;4599052,959665849804878;310966,0000000;4599050,0000000
251;292536,106257735984400;4606192,808409989811480;292536,0000000;4606190,0000000
252;301815,286884449014906;4606050,076806060038507;301815,0000000;4606050,0000000
253;302272,237909535004292;4615215,142981329932809;302272,0000000;4615220,0000000
254;295981,811165453982539;4610653,008406929671764;295982,0000000;4610650,0000000
255;295443,360265999974217;4614342,782850899733603;295443,0000000;4614340,0000000
256;284528,019595968013164;4593970,607977420091629;284528,0000000;4593970,0000000
257;308640,805870215001050;4610583,568520209752023;308641,0000000;4610580,0000000
258;310636,606327798974235;4611500,385724400170147;310637,0000000;4611500,0000000
259;301770,464085425017402;4615201,216566089540720;301770,0000000;4615200,0000000
260;298271,091295101970900;4588318,857719630002975;298271,0000000;4588320,0000000
261;289817,780402862990741;4619580,852381120435894;289818,0000000;4619580,0000000
262;311528,441748311975971;4618166,058645780198276;311528,0000000;4618170,0000000
263;315589,135603311005980;4611944,882501889951527;315589,0000000;4611940,0000000
264;311792,573218852980062;4611472,381733929738402;311793,0000000;4611470,0000000
265;309016,227009593974799;4615524,735965630039573;309016,0000000;4615520,0000000
266;287882,350793478020933;4623835,651254540309310;287882,0000000;4623840,0000000
267;308527,839883567008656;4617406,767253570258617;308528,0000000;4617410,0000000
268;304090,551141973002814;4612318,959228299558163;304091,0000000;4612320,0000000
269;299731,548743029008619;4621925,435318189673126;299732,0000000;4621930,0000000
270;286570,932347178983036;4588674,647233439609408;286571,0000000;4588670,0000000
271;309467,412310310988687;4611357,793129109777510;309467,0000000;4611360,0000000
272;304364,045385213976260;4612747,533549060113728;304364,0000000;4612750,0000000
273;310164,582035059982445;4599616,596810859628022;310165,0000000;4599620,0000000
274;309748,967482141975779;4599836,677829709835351;309749,0000000;4599840,0000000
275;302197,263742181996349;4601973,936172509565949;302197,0000000;4601970,0000000
276;303617,307767988997512;4620682,982379980385303;303617,0000000;4620680,0000000
277;309340,808504635002464;4600125,691398629918694;309341,0000000;4600130,0000000
278;286761,177235452982131;4601516,393775070086122;286761,0000000;4601520,0000000
279;296314,614733787020668;4601763,715631130151451;296315,0000000;4601760,0000000
280;305953,603285985009279;4601312,856691139750183;305954,0000000;4601310,0000000
281;312959,941382489982061;4599360,464291670359671;312960,0000000;4599360,0000000
282;318291,544885287003126;4601716,652127919718623;318292,0000000;4601720,0000000
283;304560,530472616024781;4613186,936772130429745;304561,0000000;4613190,0000000
284;309749,045024590974208;4606893,347686889581382;309749,0000000;4606890,0000000
285;285319,524633813009132;4594648,984324170276523;285320,0000000;4594650,0000000
286;308749,409087751992047;4617616,158495949581265;308749,0000000;4617620,0000000
287;289989,984410693985410;4602478,836927300319076;289990,0000000;4602480,0000000
